Category,Item,Quantity,Rate (£),Duration (months),Cost (£),Justification
Directly Incurred,ML Engineer (full-time),2,5000,12,120000,Build runtime policy engine and sector templates
Directly Incurred,Compliance Operations Lead,1,3500,12,42000,Regulatory mapping and customer success
Directly Incurred,Customer Success Manager,1,3000,12,36000,Enterprise pilot onboarding and support
Directly Incurred,DevOps / Infrastructure Engineer,0.5,4000,12,24000,Cloud infrastructure and CI/CD
Directly Incurred,GCP Compute and Storage,1,2000,12,24000,VMs Ollama inference attestation API hosting
Directly Incurred,Security audit and penetration test,1,15000,1,15000,Independent validation of cryptographic stack
Directly Incurred,Legal / GDPR / DORA advisory,1,10000,1,10000,Regulatory review and IP protection
Directly Incurred,Software subscriptions and tooling,1,1000,12,12000,Monitoring design tools dev environments
Directly Incurred,Travel and conferences,1,4000,1,4000,UK/EU AI safety and compliance events
Directly Incurred,Equipment (laptops etc.),5,1200,1,6000,Development hardware
Indirect,Overhead and contingency,1,30000,1,30000,10% contingency and administrative overhead
TOTAL,,,,,300000,
Grant Request (50%),,,,,150000,
Match Funding (50%),,,,,150000,
