dir,vercel_linked,name,url1,code1,status1,url2,code2,status2,live_url
aeo-registry-deploy,yes,aeo-registry-deploy,https://aeo-registry-deploy.vercel.app,200,live,https://meok-aeo-registry-deploy-ai.vercel.app,404,dead,https://aeo-registry-deploy.vercel.app
agisafe-deploy,yes,agisafe-deploy,https://agisafe-deploy.vercel.app,200,live,https://meok-agisafe-deploy-ai.vercel.app,404,dead,https://agisafe-deploy.vercel.app
annual-report-deploy,yes,annual-report-deploy,https://annual-report-deploy.vercel.app,200,live,https://meok-annual-report-deploy-ai.vercel.app,404,dead,https://annual-report-deploy.vercel.app
apply-48h-deploy,yes,apply-48h-deploy,https://apply-48h-deploy.vercel.app,200,live,https://meok-apply-48h-deploy-ai.vercel.app,404,dead,https://apply-48h-deploy.vercel.app
audit-feed-deploy,yes,audit-feed-deploy,https://audit-feed-deploy.vercel.app,200,live,https://meok-audit-feed-deploy-ai.vercel.app,404,dead,https://audit-feed-deploy.vercel.app
blog-deploy,yes,blog-deploy,https://blog-deploy.vercel.app,200,live,https://meok-blog-deploy-ai.vercel.app,404,dead,https://blog-deploy.vercel.app
bmcc-cuny,yes,bmcc-cuny,https://bmcc-cuny.vercel.app,404,dead,https://meok-bmcc-cuny-ai.vercel.app,404,dead,none
case-industries-deploy,yes,case-industries-deploy,https://case-industries-deploy.vercel.app,404,dead,https://meok-case-industries-deploy-ai.vercel.app,404,dead,none
case-studies-deploy,yes,case-studies-deploy,https://case-studies-deploy.vercel.app,200,live,https://meok-case-studies-deploy-ai.vercel.app,404,dead,https://case-studies-deploy.vercel.app
cert-lookup-deploy,yes,cert-lookup-deploy,https://cert-lookup-deploy.vercel.app,200,live,https://meok-cert-lookup-deploy-ai.vercel.app,404,dead,https://cert-lookup-deploy.vercel.app
changelog-deploy,yes,changelog-deploy,https://changelog-deploy.vercel.app,200,live,https://meok-changelog-deploy-ai.vercel.app,404,dead,https://changelog-deploy.vercel.app
