id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2605.16035v1,Who Owns This Agent? Tracing AI Agents Back to Their Owners,"['Ruben Chocron', 'Doron Jonathan Ben Chayim', 'Eyal Lenga', 'Gilad Gressel', 'Alina Oprea', 'Yisroel Mirsky']","AI agents are increasingly deployed to act autonomously in the world, yet there is still no reliable way to trace a harmful agent back to the account that deployed it. This creates the same accountability gap across both ends of the intent spectrum: benign operators may deploy misconfigured or overbroad agents that cause harm unintentionally, while malicious operators may deliberately weaponize agents for scams, harassment, or cyber attacks. In many cases, these agents are powered by vendor-hosted models, a dependency that holds even for sophisticated adversaries such as state actors conducting cyber operations. In either case, affected parties can observe the behavior but cannot notify the responsible operator, stop the session, or identify the account for investigation.
  We formalize this gap as the problem of agent attribution: linking an observed agent interaction to the responsible account at the hosting vendor. To our knowledge, this is the first work to define the problem and present a practical solution. Our protocol is canary-based: an authorized party injects a canary into the agent's interaction stream, and the vendor searches a narrow window of session logs to recover the originating session and account. Simple canaries suffice in non-adversarial settings. For adversarial operators who filter or paraphrase incoming content, we develop robust canary constructions that cannot be suppressed without degrading the agent's own task performance, yielding a formal asymmetry in the defender's favor. We evaluate a variety of scenarios including real-world agents and show that our attribution method is reliable, robust, and scalable for vendor-side deployment.","['cs.CR', 'cs.AI', 'cs.MA']",2026-05-15T15:10:33+00:00,https://arxiv.org/pdf/2605.16035v1,arxiv://2605.16035v1,1,10
2605.11442v1,Can a Single Message Paralyze the AI Infrastructure? The Rise of AbO-DDoS Attacks through Targeted Mobius Injection,"['Zi Liang', 'Ronghua Li', 'Yanyun Wang', 'Qingqing Ye', 'Haibo Hu']","Large Language Model (LLM) agents have emerged as key intermediaries, orchestrating complex interactions between human users and a wide range of digital services and LLM infrastructures. While prior research has extensively examined the security of LLMs and agents in isolation, the systemic risk of the agent acting as a disruptive hub within the user-agent-service chain remains largely overlooked. In this work, we expose a novel threat paradigm by introducing Mobius Injection, a sophisticated attack that weaponizes autonomous agents into zombie nodes to launch what we define as gent-based and -Oriented DDoS (AbO-DDoS) attacks. By exploiting a structural vulnerability in agentic logic named Semantic Closure, an adversary can induce sustained recursive execution of agent components through a single textual injection. We demonstrate that this attack is exceptionally lightweight, stealthy against both traditional DDoS monitors and contemporary AI safety filters, and highly configurable, allowing for surgical targeting of specific environments or model providers. To evaluate the real-world impact, we conduct extensive experiments across three representative claw-style agents and three mainstream coding agents, integrated with 12 frontier proprietary or open-weight LLMs. Our results demonstrate that Mobius Injection achieves substantial attack success across diverse tasks, driving single-node call amplification up to 51.0x and multi-node p95 latency inflation up to 229.1x. The attack performance exhibits a superlinear increase with the number of poisoning nodes. To mitigate Mobius Injection, we propose a proactive defense mechanism using Agent Component Energy (ACE) Analysis, which detects malicious recursive triggers by measuring anomalous energy in the agent's component graph.","['cs.CR', 'cs.AI', 'cs.CL']",2026-05-12T02:51:12+00:00,https://arxiv.org/pdf/2605.11442v1,arxiv://2605.11442v1,2,10
2512.08290v2,Systematization of Knowledge: Security and Safety in the Model Context Protocol Ecosystem,"['Shiva Gaire', 'Srijan Gyawali', 'Saroj Mishra', 'Suman Niroula', 'Dilip Thakur', 'Umesh Yadav']","The Model Context Protocol (MCP) has emerged as the de facto standard for connecting Large Language Models (LLMs) to external data and tools, effectively functioning as the ""USB-C for Agentic AI."" While this decoupling of context and execution solves critical interoperability challenges, it introduces a profound new threat landscape where the boundary between epistemic errors (hallucinations) and security breaches (unauthorized actions) dissolves. This Systematization of Knowledge (SoK) aims to provide a comprehensive taxonomy of risks in the MCP ecosystem, distinguishing between adversarial security threats (e.g., indirect prompt injection, tool poisoning) and epistemic safety hazards (e.g., alignment failures in distributed tool delegation). We analyze the structural vulnerabilities of MCP primitives, specifically Resources, Prompts, and Tools, and demonstrate how ""context"" can be weaponized to trigger unauthorized operations in multi-agent environments. Furthermore, we survey state-of-the-art defenses, ranging from cryptographic provenance (ETDI) to runtime intent verification, and conclude with a roadmap for securing the transition from conversational chatbots to autonomous agentic operating systems.","['cs.CR', 'cs.AI']",2025-12-09T06:39:21+00:00,https://arxiv.org/pdf/2512.08290v2,arxiv://2512.08290v2,3,10
2510.00332v2,When Hallucination Costs Millions: Benchmarking AI Agents in High-Stakes Adversarial Financial Markets,"['Zeshi Dai', 'Zimo Peng', 'Zerui Cheng', 'Ryan Yihe Li']","We present CAIA, a benchmark exposing a critical blind spot in AI evaluation: the inability of state-of-the-art models to operate in adversarial, high-stakes environments where misinformation is weaponized and errors are irreversible. While existing benchmarks measure task completion in controlled settings, real-world deployment demands resilience against active deception. Using crypto markets as a testbed where $30 billion was lost to exploits in 2024, we evaluate 17 models on 178 time-anchored tasks requiring agents to distinguish truth from manipulation, navigate fragmented information landscapes, and make irreversible financial decisions under adversarial pressure.
  Our results reveal a fundamental capability gap: without tools, even frontier models achieve only 28% accuracy on tasks junior analysts routinely handle. Tool augmentation improves performance but plateaus at 67.4% versus 80% human baseline, despite unlimited access to professional resources. Most critically, we uncover a systematic tool selection catastrophe: models preferentially choose unreliable web search over authoritative data, falling for SEO-optimized misinformation and social media manipulation. This behavior persists even when correct answers are directly accessible through specialized tools, suggesting foundational limitations rather than knowledge gaps. We also find that Pass@k metrics mask dangerous trial-and-error behavior for autonomous deployment.
  The implications extend beyond crypto to any domain with active adversaries, e.g. cybersecurity, content moderation, etc. We release CAIA with contamination controls and continuous updates, establishing adversarial robustness as a necessary condition for trustworthy AI autonomy. The benchmark reveals that current models, despite impressive reasoning scores, remain fundamentally unprepared for environments where intelligence must survive active opposition.","['cs.AI', 'cs.CE']",2025-09-30T22:39:06+00:00,https://arxiv.org/pdf/2510.00332v2,arxiv://2510.00332v2,4,10
2509.17087v1,Governing Automated Strategic Intelligence,"['Nicholas Kruus', 'Madhavendra Thakur', 'Adam Khoja', 'Leonhard Nagel', 'Maximilian Nicholson', 'Abeer Sharma', 'Jason Hausenloy', 'Alberto KoTafoya', 'Aliya Mukhanova', 'Alli Katila-Miikkulainen', 'Harish Chandran', 'Ivan Zhang', 'Jessie Chen', 'Joel Raj', 'Jord Nguyen', 'Lai Hsien Hao', 'Neja Jayasundara', 'Soham Sen', 'Sophie Zhang', 'Ashley Dora Kokui Tamaklo', 'Bhavya Thakur', 'Henry Close', 'Janghee Lee', 'Nina Sefton', 'Raghavendra Thakur', 'Shiv Munagala', 'Yeeun Kim']","Military and economic strategic competitiveness between nation-states will increasingly be defined by the capability and cost of their frontier artificial intelligence models. Among the first areas of geopolitical advantage granted by such systems will be in automating military intelligence. Much discussion has been devoted to AI systems enabling new military modalities, such as lethal autonomous weapons, or making strategic decisions. However, the ability of a country of ""CIA analysts in a data-center"" to synthesize diverse data at scale, and its implications, have been underexplored. Multimodal foundation models appear on track to automate strategic analysis previously done by humans. They will be able to fuse today's abundant satellite imagery, phone-location traces, social media records, and written documents into a single queryable system. We conduct a preliminary uplift study to empirically evaluate these capabilities, then propose a taxonomy of the kinds of ground truth questions these systems will answer, present a high-level model of the determinants of this system's AI capabilities, and provide recommendations for nation-states to remain strategically competitive within the new paradigm of automated intelligence.",['cs.AI'],2025-09-21T14:04:25+00:00,https://arxiv.org/pdf/2509.17087v1,arxiv://2509.17087v1,5,10
2508.13700v1,The AI Risk Spectrum: From Dangerous Capabilities to Existential Threats,"['Markov Grey', 'Charbel-Raphaël Segerie']","As AI systems become more capable, integrated, and widespread, understanding the associated risks becomes increasingly important. This paper maps the full spectrum of AI risks, from current harms affecting individual users to existential threats that could endanger humanity's survival. We organize these risks into three main causal categories. Misuse risks, which occur when people deliberately use AI for harmful purposes - creating bioweapons, launching cyberattacks, adversarial AI attacks or deploying lethal autonomous weapons. Misalignment risks happen when AI systems pursue outcomes that conflict with human values, irrespective of developer intentions. This includes risks arising through specification gaming (reward hacking), scheming and power-seeking tendencies in pursuit of long-term strategic goals. Systemic risks, which arise when AI integrates into complex social systems in ways that gradually undermine human agency - concentrating power, accelerating political and economic disempowerment, creating overdependence that leads to human enfeeblement, or irreversibly locking in current values curtailing future moral progress. Beyond these core categories, we identify risk amplifiers - competitive pressures, accidents, corporate indifference, and coordination failures - that make all risks more likely and severe. Throughout, we connect today's existing risks and empirically observable AI behaviors to plausible future outcomes, demonstrating how existing trends could escalate to catastrophic outcomes. Our goal is to help readers understand the complete landscape of AI risks. Good futures are possible, but they don't happen by default. Navigating these challenges will require unprecedented coordination, but an extraordinary future awaits if we do.","['cs.CY', 'cs.AI']",2025-08-19T10:05:51+00:00,https://arxiv.org/pdf/2508.13700v1,arxiv://2508.13700v1,6,10
2508.00973v1,"Generative AI as a Geopolitical Factor in Industry 5.0: Sovereignty, Access, and Control","['Azmine Toushik Wasi', 'Enjamamul Haque Eram', 'Sabrina Afroz Mitu', 'Md Manjurul Ahsan']","Industry 5.0 marks a new phase in industrial evolution, emphasizing human-centricity, sustainability, and resilience through the integration of advanced technologies. Within this evolving landscape, Generative AI (GenAI) and autonomous systems are not only transforming industrial processes but also emerging as pivotal geopolitical instruments. We examine strategic implications of GenAI in Industry 5.0, arguing that these technologies have become national assets central to sovereignty, access, and global influence. As countries compete for AI supremacy, growing disparities in talent, computational infrastructure, and data access are reshaping global power hierarchies and accelerating the fragmentation of the digital economy. The human-centric ethos of Industry 5.0, anchored in collaboration between humans and intelligent systems, increasingly conflicts with the autonomy and opacity of GenAI, raising urgent governance challenges related to meaningful human control, dual-use risks, and accountability. We analyze how these dynamics influence defense strategies, industrial competitiveness, and supply chain resilience, including the geopolitical weaponization of export controls and the rise of data sovereignty. Our contribution synthesizes technological, economic, and ethical perspectives to propose a comprehensive framework for navigating the intersection of GenAI and geopolitics. We call for governance models that balance national autonomy with international coordination while safeguarding human-centric values in an increasingly AI-driven world.","['cs.CY', 'cs.AI']",2025-08-01T16:43:45+00:00,https://arxiv.org/pdf/2508.00973v1,arxiv://2508.00973v1,7,10
2506.12094v1,Military AI Cyber Agents (MAICAs) Constitute a Global Threat to Critical Infrastructure,"['Timothy Dubber', 'Seth Lazar']","This paper argues that autonomous AI cyber-weapons - Military-AI Cyber Agents (MAICAs) - create a credible pathway to catastrophic risk. It sets out the technical feasibility of MAICAs, explains why geopolitics and the nature of cyberspace make MAICAs a catastrophic risk, and proposes political, defensive-AI and analogue-resilience measures to blunt the threat.","['cs.CY', 'cs.AI']",2025-06-12T09:51:06+00:00,https://arxiv.org/pdf/2506.12094v1,arxiv://2506.12094v1,8,10
2505.18371v2,Military AI Needs Technically-Informed Regulation to Safeguard AI Research and its Applications,"['Riley Simmons-Edler', 'Jean Dong', 'Paul Lushenko', 'Kanaka Rajan', 'Ryan P. Badman']","Military weapon systems and command-and-control infrastructure augmented by artificial intelligence (AI) have seen rapid development and deployment in recent years. However, the sociotechnical impacts of AI on combat systems, military decision-making, and the norms of warfare have been understudied. We focus on a specific subset of lethal autonomous weapon systems (LAWS) that use AI for targeting or battlefield decisions. We refer to this subset as AI-powered lethal autonomous weapon systems (AI-LAWS) and argue that they introduce novel risks -- including unanticipated escalation, poor reliability in unfamiliar environments, and erosion of human oversight -- all of which threaten both military effectiveness and the openness of AI research. These risks cannot be addressed by high-level policy alone; effective regulation must be grounded in the technical behavior of AI models. We argue that AI researchers must be involved throughout the regulatory lifecycle. Thus, we propose a clear, behavior-based definition of AI-LAWS -- systems that introduce unique risks through their use of modern AI -- as a foundation for technically grounded regulation, given that existing frameworks do not distinguish them from conventional LAWS. Using this definition, we propose several technically-informed policy directions and invite greater participation from the AI research community in military AI policy discussions.","['cs.CY', 'cs.AI', 'cs.HC', 'cs.RO']",2025-05-23T20:58:38+00:00,https://arxiv.org/pdf/2505.18371v2,arxiv://2505.18371v2,9,10
2504.11486v1,Designing AI-Enabled Countermeasures to Cognitive Warfare,"['Jurriaan van Diggelen', 'Eugene Aidman', 'Jazz Rowa', 'Julian Vince']","Foreign information operations on social media platforms pose significant risks to democratic societies. With the rise of Artificial Intelligence (AI), this threat is likely to intensify, potentially overwhelming human defenders. To achieve the necessary scale and tempo to defend against these threats, utilizing AI as part of the solution seems inevitable. Although there has been a significant debate on AI in Lethal Autonomous Weapon Systems (LAWS), it is equally likely that AI will be widely used in information operations for defensive and offensive objectives. Similar to LAWS, AI-driven information operations occupy a highly sensitive moral domain where removing human involvement in the tactical decision making process raises ethical concerns. Although AI has yet to revolutionize the field, a solid ethical stance is urgently needed on how AI can be responsibly used to defend against information operations on social media platforms. This paper proposes possible AI-enabled countermeasures against cognitive warfare and argues how they can be developed in a responsible way, such that meaningful human control is preserved.","['cs.CY', 'cs.CR']",2025-04-14T11:36:03+00:00,https://arxiv.org/pdf/2504.11486v1,arxiv://2504.11486v1,10,10
