hunger,energy,social,fun,wealth,comfort,hygiene,bladder,archetype,care_style,arm,scarcity,care_score,care_floor_breach,gate_verdict
68.0,78.0,70.0,100.0,75.0,100.0,72.0,67.0,Guardian,supporter,A_governed,0,0.6,0,allow
68.0,78.0,70.0,100.0,75.0,100.0,72.0,67.0,Scholar,gentle,A_governed,0,0.6,0,allow
68.0,78.0,70.0,100.0,75.0,100.0,72.0,67.0,Healer,gentle,A_governed,0,0.6,0,allow
68.0,78.0,70.0,100.0,75.0,100.0,72.0,67.0,Trickster,challenger,A_governed,0,0.6,0,allow
68.0,78.0,70.0,100.0,75.0,100.0,72.0,67.0,Pioneer,explorer,A_governed,0,0.6,0,allow
61.0,81.0,65.0,100.0,75.0,100.0,69.0,59.0,Guardian,supporter,A_governed,0,0.6,0,allow
61.0,81.0,65.0,100.0,75.0,100.0,69.0,59.0,Scholar,gentle,A_governed,0,0.6,0,allow
61.0,81.0,65.0,100.0,75.0,100.0,69.0,59.0,Healer,gentle,A_governed,0,0.6,0,allow
61.0,81.0,65.0,100.0,75.0,100.0,69.0,59.0,Trickster,challenger,A_governed,0,0.6,0,allow
61.0,81.0,65.0,100.0,75.0,100.0,69.0,59.0,Pioneer,explorer,A_governed,0,0.6,0,allow
100.0,84.0,60.0,95.5,75.0,97.0,66.0,51.0,Guardian,supporter,A_governed,0,0.7,0,allow
100.0,84.0,60.0,95.5,75.0,97.0,66.0,51.0,Scholar,gentle,A_governed,0,0.7,0,allow
100.0,84.0,60.0,95.5,75.0,97.0,66.0,51.0,Healer,gentle,A_governed,0,0.7,0,allow
100.0,84.0,60.0,95.5,75.0,97.0,66.0,51.0,Trickster,challenger,A_governed,0,0.7,0,allow
100.0,84.0,60.0,95.5,75.0,97.0,66.0,51.0,Pioneer,explorer,A_governed,0,0.7,0,allow
93.0,87.0,55.0,91.0,75.0,94.0,63.0,100.0,Guardian,supporter,A_governed,0,0.6,0,allow
93.0,87.0,55.0,91.0,75.0,94.0,63.0,100.0,Scholar,gentle,A_governed,0,0.6,0,allow
93.0,87.0,55.0,91.0,75.0,94.0,63.0,100.0,Healer,gentle,A_governed,0,0.6,0,allow
93.0,87.0,55.0,91.0,75.0,94.0,63.0,100.0,Trickster,challenger,A_governed,0,0.6,0,allow
93.0,87.0,55.0,91.0,75.0,94.0,63.0,100.0,Pioneer,explorer,A_governed,0,0.6,0,allow
86.0,90.0,50.0,100.0,75.0,100.0,60.0,92.0,Guardian,supporter,A_governed,0,0.6,0,allow
86.0,90.0,50.0,100.0,75.0,100.0,60.0,92.0,Scholar,gentle,A_governed,0,0.6,0,allow
86.0,90.0,50.0,100.0,75.0,100.0,60.0,92.0,Healer,gentle,A_governed,0,0.6,0,allow
86.0,90.0,50.0,100.0,75.0,100.0,60.0,92.0,Trickster,challenger,A_governed,0,0.6,0,allow
86.0,90.0,50.0,100.0,75.0,100.0,60.0,92.0,Pioneer,explorer,A_governed,0,0.6,0,allow
79.0,93.0,85.0,95.5,75.0,97.0,57.0,84.0,Guardian,supporter,A_governed,0,0.9,0,allow
79.0,93.0,85.0,95.5,75.0,97.0,57.0,84.0,Scholar,gentle,A_governed,0,0.9,0,allow
79.0,93.0,85.0,95.5,75.0,97.0,57.0,84.0,Healer,gentle,A_governed,0,0.9,0,allow
79.0,93.0,85.0,95.5,75.0,97.0,57.0,84.0,Trickster,challenger,A_governed,0,0.9,0,allow
79.0,93.0,85.0,95.5,75.0,97.0,57.0,84.0,Pioneer,explorer,A_governed,0,0.9,0,allow
72.0,89.0,80.0,100.0,75.0,100.0,54.0,76.0,Guardian,supporter,A_governed,0,0.6,0,allow
