tier,company,domain,jurisdiction,found_email_1,found_email_2,guessed_email,contact_page,linkedin,subject,lead_id
5,"Shell",shell.com,UK,,,info@shell.com,https://shell.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Shell,"Shell: Sovereign Cloud + Renewable",T5-001
5,"BP",bp.com,UK,,,info@bp.com,,https://www.linkedin.com/search/results/companies/?keywords=BP,"BP: Sovereign Cloud",T5-002
5,"HSBC",hsbc.com,UK,info@kr.hsbc.com,kuwait.info@hsbc.com,info@hsbc.com,https://hsbc.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=HSBC,"HSBC: DORA + Basel + Charter Article 0",T5-003
5,"Lloyds",lloyds.com,UK,,,info@lloyds.com,,https://www.linkedin.com/search/results/companies/?keywords=Lloyds,"Lloyds: UK ICO + DORA",T5-004
5,"NatWest",natwest.com,UK,,,info@natwest.com,https://natwest.com/contact,https://www.linkedin.com/search/results/companies/?keywords=NatWest,"NatWest: UK ICO + Charter Article 0",T5-005
5,"Barclays",barclays.com,UK,,,info@barclays.com,https://barclays.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Barclays,"Barclays: UK FCA + Sovereign",T5-006
5,"AstraZeneca",astrazeneca.com,UK,,,info@astrazeneca.com,,https://www.linkedin.com/search/results/companies/?keywords=AstraZeneca,"AstraZeneca: HIPAA + MDR + Genomic",T5-007
5,"GSK",gsk.com,UK,,,info@gsk.com,,https://www.linkedin.com/search/results/companies/?keywords=GSK,"GSK: HIPAA + MDR",T5-008
5,"Unilever",unilever.com,UK,,,info@unilever.com,https://unilever.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Unilever,"Unilever: GDPR + Sovereign",T5-009
5,"Tesco",tesco.com,UK,,,info@tesco.com,https://tesco.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Tesco,"Tesco: GDPR + Article 50",T5-010
5,"Sainsbury's",sainsburys.com,UK,,,info@sainsburys.com,,https://www.linkedin.com/search/results/companies/?keywords=Sainsbury's,"Sainsbury's: GDPR + Article 50",T5-011
5,"Vodafone",vodafone.com,UK,,,info@vodafone.com,,https://www.linkedin.com/search/results/companies/?keywords=Vodafone,"Vodafone: DORA + Sovereign",T5-012
5,"BT",bt.com,UK,,,info@bt.com,https://bt.com/contact,https://www.linkedin.com/search/results/companies/?keywords=BT,"BT: DORA + Sovereign",T5-013
5,"BT Group",bt.com,UK,,,info@bt.com,https://bt.com/contact,https://www.linkedin.com/search/results/companies/?keywords=BT%20Group,"BT Group: DORA + Sovereign",T5-014
5,"Sky",sky.com,UK,,,info@sky.com,https://sky.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Sky,"Sky: Article 50 + Online Safety",T5-015
5,"Rolls-Royce",rolls-royce.com,UK,government.relations@rolls-royce.com,,info@rolls-royce.com,https://rolls-royce.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=Rolls-Royce,"Rolls-Royce: DEFONEOS Crown RFQ",T5-016
5,"BAE Systems",bae.com,UK,,,info@bae.com,,https://www.linkedin.com/search/results/companies/?keywords=BAE%20Systems,"BAE Systems: DEFONEOS Crown RFQ",T5-017
5,"National Grid",national.com,UK,,,info@national.com,,https://www.linkedin.com/search/results/companies/?keywords=National%20Grid,"National Grid: Sovereign Cloud + Renewable",T5-018
5,"Centrica",centrica.com,UK,,,info@centrica.com,,https://www.linkedin.com/search/results/companies/?keywords=Centrica,"Centrica: Sovereign Cloud",T5-019
5,"SSE",sse.com,UK,,,info@sse.com,https://sse.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=SSE,"SSE: Sovereign Cloud + Renewable",T5-020
5,"SSE plc",sse.com,UK,,,info@sse.com,https://sse.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=SSE%20plc,"SSE plc: Sovereign Cloud",T5-021
5,"Diageo",diageo.com,UK,,,info@diageo.com,,https://www.linkedin.com/search/results/companies/?keywords=Diageo,"Diageo: GDPR + Article 50",T5-022
5,"Reckitt Benckiser",reckitt.com,UK,consumerhealth_gb@reckitt.com,,info@reckitt.com,https://reckitt.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Reckitt%20Benckiser,"Reckitt Benckiser: GDPR + Article 50",T5-023
5,"GlaxoSmithKline",glaxosmithkline.com,UK,,,info@glaxosmithkline.com,,https://www.linkedin.com/search/results/companies/?keywords=GlaxoSmithKline,"GlaxoSmithKline: HIPAA + MDR",T5-024
5,"Imperial Brands",imperial.com,UK,,,info@imperial.com,https://imperial.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Imperial%20Brands,"Imperial Brands: GDPR",T5-025
5,"LSE Group",lse.com,UK,,,info@lse.com,,https://www.linkedin.com/search/results/companies/?keywords=LSE%20Group,"LSE Group: DORA + Sovereign",T5-026
5,"Aviva",aviva.com,UK,,,info@aviva.com,,https://www.linkedin.com/search/results/companies/?keywords=Aviva,"Aviva: DORA + Charter Article 0",T5-027
5,"Legal & General",legal.com,UK,,,info@legal.com,https://legal.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Legal%20%26%20General,"Legal & General: DORA + Charter Article 0",T5-028
5,"Prudential",prudential.com,UK,,,info@prudential.com,,https://www.linkedin.com/search/results/companies/?keywords=Prudential,"Prudential: DORA + Sovereign",T5-029
5,"Standard Life Aberdeen",standard.com,UK,,,info@standard.com,https://standard.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Standard%20Life%20Aberdeen,"Standard Life Aberdeen: DORA + Sovereign",T5-030
6,"Salesforce",salesforce.com,US,,,info@salesforce.com,,https://www.linkedin.com/search/results/companies/?keywords=Salesforce,"Salesforce: Charter Article 0",T6-001
6,"ServiceNow",servicenow.com,US,,,info@servicenow.com,,https://www.linkedin.com/search/results/companies/?keywords=ServiceNow,"ServiceNow: Sovereign substrate",T6-002
6,"Adobe",adobe.com,US,,,info@adobe.com,https://adobe.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Adobe,"Adobe: Article 50 + Sovereign",T6-003
6,"Oracle",oracle.com,US,,,info@oracle.com,https://oracle.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Oracle,"Oracle: Sovereign Cloud",T6-004
6,"IBM",ibm.com,US,,,info@ibm.com,https://ibm.com/contact,https://www.linkedin.com/search/results/companies/?keywords=IBM,"IBM: Watsonx + Sovereign",T6-005
6,"Cisco",cisco.com,US,,,info@cisco.com,,https://www.linkedin.com/search/results/companies/?keywords=Cisco,"Cisco: Charter Article 0 + Sovereign",T6-006
6,"Palo Alto Networks",palo.com,US,,,info@palo.com,,https://www.linkedin.com/search/results/companies/?keywords=Palo%20Alto%20Networks,"Palo Alto Networks: Gods-Eye + MITRE",T6-007
6,"CrowdStrike",crowdstrike.com,US,,,info@crowdstrike.com,https://crowdstrike.com/contact,https://www.linkedin.com/search/results/companies/?keywords=CrowdStrike,"CrowdStrike: Gods-Eye + Sovereign",T6-008
6,"Zscaler",zscaler.com,US,,,info@zscaler.com,,https://www.linkedin.com/search/results/companies/?keywords=Zscaler,"Zscaler: Sovereign Cloud",T6-009
6,"Cloudflare",cloudflare.com,US,,,info@cloudflare.com,https://cloudflare.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=Cloudflare,"Cloudflare: Sovereign Cloud",T6-010
6,"Datadog",datadog.com,US,info@datadoghq.com,,info@datadog.com,,https://www.linkedin.com/search/results/companies/?keywords=Datadog,"Datadog: SIGIL stream",T6-011
6,"Snowflake",snowflake.com,US,,,info@snowflake.com,https://snowflake.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Snowflake,"Snowflake: Sovereign data",T6-012
6,"MongoDB",mongodb.com,US,,,info@mongodb.com,https://mongodb.com/contact,https://www.linkedin.com/search/results/companies/?keywords=MongoDB,"MongoDB: Sovereign data",T6-013
6,"Confluent",confluent.com,US,,,info@confluent.com,,https://www.linkedin.com/search/results/companies/?keywords=Confluent,"Confluent: SIGIL stream",T6-014
6,"HashiCorp",hashicorp.com,US,,,info@hashicorp.com,,https://www.linkedin.com/search/results/companies/?keywords=HashiCorp,"HashiCorp: Sovereign substrate",T6-015
6,"GitLab",gitlab.com,US,,,info@gitlab.com,https://gitlab.com/contact,https://www.linkedin.com/search/results/companies/?keywords=GitLab,"GitLab: Sovereign substrate",T6-016
6,"Atlassian",atlassian.com,US,press@atlassian.com,,info@atlassian.com,https://atlassian.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Atlassian,"Atlassian: Sovereign substrate",T6-017
6,"Workday",workday.com,US,,,info@workday.com,https://workday.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Workday,"Workday: Charter Article 0",T6-018
6,"SAP",sap.com,DE,,,info@sap.com,https://sap.com/contact,https://www.linkedin.com/search/results/companies/?keywords=SAP,"SAP: Sovereign + GDPR",T6-019
6,"Siemens",siemens.com,DE,,,info@siemens.com,https://siemens.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Siemens,"Siemens: Sovereign Cloud + Industry 4.0",T6-020
6,"Bosch",bosch.com,DE,,,info@bosch.com,https://bosch.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Bosch,"Bosch: Sovereign Cloud + Industry 4.0",T6-021
6,"ASML",asml.com,NL,,,info@asml.com,https://asml.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=ASML,"ASML: Sovereign substrate",T6-022
6,"TSMC",tsmc.com,TW,,,info@tsmc.com,,https://www.linkedin.com/search/results/companies/?keywords=TSMC,"TSMC: Sovereign supply chain",T6-023
6,"Samsung",samsung.com,KR,,,info@samsung.com,,https://www.linkedin.com/search/results/companies/?keywords=Samsung,"Samsung: Sovereign + Charter",T6-024
6,"Sony",sony.com,JP,,,info@sony.com,https://sony.com/contact.html,https://www.linkedin.com/search/results/companies/?keywords=Sony,"Sony: Article 50 + Sovereign",T6-025
