name,package,description,tier,price_gbp_monthly,sectors,registry_url,endpoint,github_url,install_command,mcp_run_command
a2a-governance-bridge-mcp,a2a-governance-bridge-mcp,A2A Governance Bridge — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Low-Value Pack (£9/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,lvp,9,general,https://pypi.org/project/a2a-governance-bridge-mcp/,https://csoai.org/mcp/a2a-governance-bridge-mcp,https://github.com/CSOAI-ORG/a2a-governance-bridge-mcp,pip install a2a-governance-bridge-mcp,python -m a2a_governance_bridge_mcp
accessibility-ai-mcp,accessibility-ai-mcp,Accessibility Ai — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Low-Value Pack (£9/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,lvp,9,general,https://pypi.org/project/accessibility-ai-mcp/,https://csoai.org/mcp/accessibility-ai-mcp,https://github.com/CSOAI-ORG/accessibility-ai-mcp,pip install accessibility-ai-mcp,python -m accessibility_ai_mcp
accounting-ai-mcp,accounting-ai-mcp,Accounting Ai — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Low-Value Pack (£9/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,lvp,9,general,https://pypi.org/project/accounting-ai-mcp/,https://csoai.org/mcp/accounting-ai-mcp,https://github.com/CSOAI-ORG/accounting-ai-mcp,pip install accounting-ai-mcp,python -m accounting_ai_mcp
ad-copy-ai-mcp,ad-copy-ai-mcp,Ad Copy Ai — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Low-Value Pack (£9/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,lvp,9,general,https://pypi.org/project/ad-copy-ai-mcp/,https://csoai.org/mcp/ad-copy-ai-mcp,https://github.com/CSOAI-ORG/ad-copy-ai-mcp,pip install ad-copy-ai-mcp,python -m ad_copy_ai_mcp
agent-audit-logger-mcp,agent-audit-logger-mcp,Agent Audit Logger — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: High-Value Pack (£99/mo). Sectors: legal. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,hvp,79,legal,https://pypi.org/project/agent-audit-logger-mcp/,https://csoai.org/mcp/agent-audit-logger-mcp,https://github.com/CSOAI-ORG/agent-audit-logger-mcp,pip install agent-audit-logger-mcp,python -m agent_audit_logger_mcp
agent-commerce-payments-mcp,agent-commerce-payments-mcp,Agent Commerce Payments — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: finance. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,finance,https://pypi.org/project/agent-commerce-payments-mcp/,https://csoai.org/mcp/agent-commerce-payments-mcp,https://github.com/CSOAI-ORG/agent-commerce-payments-mcp,pip install agent-commerce-payments-mcp,python -m agent_commerce_payments_mcp
agent-commerce-protocol-mcp,agent-commerce-protocol-mcp,Agent Commerce Protocol — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-commerce-protocol-mcp/,https://csoai.org/mcp/agent-commerce-protocol-mcp,https://github.com/CSOAI-ORG/agent-commerce-protocol-mcp,pip install agent-commerce-protocol-mcp,python -m agent_commerce_protocol_mcp
agent-content-watermark-mcp,agent-content-watermark-mcp,Agent Content Watermark — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: media. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,media,https://pypi.org/project/agent-content-watermark-mcp/,https://csoai.org/mcp/agent-content-watermark-mcp,https://github.com/CSOAI-ORG/agent-content-watermark-mcp,pip install agent-content-watermark-mcp,python -m agent_content_watermark_mcp
agent-cost-allocator-mcp,agent-cost-allocator-mcp,Agent Cost Allocator — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-cost-allocator-mcp/,https://csoai.org/mcp/agent-cost-allocator-mcp,https://github.com/CSOAI-ORG/agent-cost-allocator-mcp,pip install agent-cost-allocator-mcp,python -m agent_cost_allocator_mcp
agent-data-residency-mcp,agent-data-residency-mcp,Agent Data Residency — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-data-residency-mcp/,https://csoai.org/mcp/agent-data-residency-mcp,https://github.com/CSOAI-ORG/agent-data-residency-mcp,pip install agent-data-residency-mcp,python -m agent_data_residency_mcp
agent-delegation-mcp,agent-delegation-mcp,Agent Delegation — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-delegation-mcp/,https://csoai.org/mcp/agent-delegation-mcp,https://github.com/CSOAI-ORG/agent-delegation-mcp,pip install agent-delegation-mcp,python -m agent_delegation_mcp
agent-handoff-certified-mcp,agent-handoff-certified-mcp,Agent Handoff Certified — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-handoff-certified-mcp/,https://csoai.org/mcp/agent-handoff-certified-mcp,https://github.com/CSOAI-ORG/agent-handoff-certified-mcp,pip install agent-handoff-certified-mcp,python -m agent_handoff_certified_mcp
agent-identity-trust-mcp,agent-identity-trust-mcp,Agent Identity Trust — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-identity-trust-mcp/,https://csoai.org/mcp/agent-identity-trust-mcp,https://github.com/CSOAI-ORG/agent-identity-trust-mcp,pip install agent-identity-trust-mcp,python -m agent_identity_trust_mcp
agent-incident-relay-mcp,agent-incident-relay-mcp,Agent Incident Relay — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-incident-relay-mcp/,https://csoai.org/mcp/agent-incident-relay-mcp,https://github.com/CSOAI-ORG/agent-incident-relay-mcp,pip install agent-incident-relay-mcp,python -m agent_incident_relay_mcp
agent-incident-reporter-mcp,agent-incident-reporter-mcp,Agent Incident Reporter — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-incident-reporter-mcp/,https://csoai.org/mcp/agent-incident-reporter-mcp,https://github.com/CSOAI-ORG/agent-incident-reporter-mcp,pip install agent-incident-reporter-mcp,python -m agent_incident_reporter_mcp
agent-mcp-router-mcp,agent-mcp-router-mcp,Agent Router — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-mcp-router-mcp/,https://csoai.org/mcp/agent-mcp-router-mcp,https://github.com/CSOAI-ORG/agent-mcp-router-mcp,pip install agent-mcp-router-mcp,python -m agent_mcp_router_mcp
agent-negotiation-mcp,agent-negotiation-mcp,Agent Negotiation — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-negotiation-mcp/,https://csoai.org/mcp/agent-negotiation-mcp,https://github.com/CSOAI-ORG/agent-negotiation-mcp,pip install agent-negotiation-mcp,python -m agent_negotiation_mcp
agent-orchestrator-mcp,agent-orchestrator-mcp,Agent Orchestrator — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-orchestrator-mcp/,https://csoai.org/mcp/agent-orchestrator-mcp,https://github.com/CSOAI-ORG/agent-orchestrator-mcp,pip install agent-orchestrator-mcp,python -m agent_orchestrator_mcp
agent-policy-enforcement-mcp,agent-policy-enforcement-mcp,Agent Policy Enforcement — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: government. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,government,https://pypi.org/project/agent-policy-enforcement-mcp/,https://csoai.org/mcp/agent-policy-enforcement-mcp,https://github.com/CSOAI-ORG/agent-policy-enforcement-mcp,pip install agent-policy-enforcement-mcp,python -m agent_policy_enforcement_mcp
agent-prompt-injection-firewall-mcp,agent-prompt-injection-firewall-mcp,Agent Prompt Injection Firewall — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-prompt-injection-firewall-mcp/,https://csoai.org/mcp/agent-prompt-injection-firewall-mcp,https://github.com/CSOAI-ORG/agent-prompt-injection-firewall-mcp,pip install agent-prompt-injection-firewall-mcp,python -m agent_prompt_injection_firewall_mcp
agent-rate-limiter-mcp,agent-rate-limiter-mcp,Agent Rate Limiter — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-rate-limiter-mcp/,https://csoai.org/mcp/agent-rate-limiter-mcp,https://github.com/CSOAI-ORG/agent-rate-limiter-mcp,pip install agent-rate-limiter-mcp,python -m agent_rate_limiter_mcp
agent-replay-debugger-mcp,agent-replay-debugger-mcp,Agent Replay Debugger — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-replay-debugger-mcp/,https://csoai.org/mcp/agent-replay-debugger-mcp,https://github.com/CSOAI-ORG/agent-replay-debugger-mcp,pip install agent-replay-debugger-mcp,python -m agent_replay_debugger_mcp
agent-token-budget-mcp,agent-token-budget-mcp,Agent Token Budget — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,general,https://pypi.org/project/agent-token-budget-mcp/,https://csoai.org/mcp/agent-token-budget-mcp,https://github.com/CSOAI-ORG/agent-token-budget-mcp,pip install agent-token-budget-mcp,python -m agent_token_budget_mcp
agent-x402-paywall-mcp,agent-x402-paywall-mcp,Agent X402 Paywall — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Mid-Value Pack (£29/mo). Sectors: finance. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,mvp,29,finance,https://pypi.org/project/agent-x402-paywall-mcp/,https://csoai.org/mcp/agent-x402-paywall-mcp,https://github.com/CSOAI-ORG/agent-x402-paywall-mcp,pip install agent-x402-paywall-mcp,python -m agent_x402_paywall_mcp
agriculture-robotics-mcp,agriculture-robotics-mcp,Agriculture Robotics — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Low-Value Pack (£9/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,lvp,9,general,https://pypi.org/project/agriculture-robotics-mcp/,https://csoai.org/mcp/agriculture-robotics-mcp,https://github.com/CSOAI-ORG/agriculture-robotics-mcp,pip install agriculture-robotics-mcp,python -m agriculture_robotics_mcp
ai-bom-mcp,ai-bom-mcp,Ai Bom — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Low-Value Pack (£9/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,lvp,9,general,https://pypi.org/project/ai-bom-mcp/,https://csoai.org/mcp/ai-bom-mcp,https://github.com/CSOAI-ORG/ai-bom-mcp,pip install ai-bom-mcp,python -m ai_bom_mcp
ai-gateway-mcp,ai-gateway-mcp,Ai Gateway — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Low-Value Pack (£9/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,lvp,9,general,https://pypi.org/project/ai-gateway-mcp/,https://csoai.org/mcp/ai-gateway-mcp,https://github.com/CSOAI-ORG/ai-gateway-mcp,pip install ai-gateway-mcp,python -m ai_gateway_mcp
ai-incident-reporting-mcp,ai-incident-reporting-mcp,Ai Incident Reporting — CSOAI / MEOK AI Labs Layer 0 compliance MCP server. Tier: Low-Value Pack (£9/mo). Sectors: general. EU AI Act / NIST AI RMF / ISO 42001 cross-framework support. HMAC-signed attestations via proofof.ai.,lvp,9,general,https://pypi.org/project/ai-incident-reporting-mcp/,https://csoai.org/mcp/ai-incident-reporting-mcp,https://github.com/CSOAI-ORG/ai-incident-reporting-mcp,pip install ai-incident-reporting-mcp,python -m ai_incident_reporting_mcp
